INST_TEMP_ID,temp_id,WESTERN_NAME,CHINESE_NAME_HANZI,Shortened Chinese Name,Chinese_name_rom,Parent Org ID,Parent Org Name,CHINESE_ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,GENDER_SERVED,AFFILIATION,CHRISTIAN TRADITION,Religious Family,RECORDED PLACE,GEOCODE,NOTES,SOURCE
平原省定陶福音會辦公室,TN_0367,Office of Dingtao Evangelical Association Mission  (Pingyuan Province),平原省定陶福音會辦公室,,píngyuán shěng dìngtáo fúyīn huìbàn gōngshì,C_000103,Evangelical Association Mission,,Ecclesial,,,,Protestant,Methodist,,Y_1384,,
平原省巨野長老會辦公室,TN_0368,Office of Juye Presbyterian Church (Pingyuan Province),平原省巨野長老會辦公室,,píngyuán shěng jùyě cháng lǎohuìbàn gōngshì,,,,Ecclesial,,,,Protestant,Presbyterian,,Y_1387,,
平原省菏澤縣中華基督教董事會辦公室,TN_0369,Heze Church of Christ in China Board Office (Shandong Province),平原省菏澤縣中華基督教董事會辦公室,,píngyuán shěng hézéxiàn zhōnghuá jīdūjiào dǒngshì huìbàn gōngshì,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_1388,,
平原省菏澤中華基督教改革組委辦公室,TN_0370,Reformation Committee Office of Heze Church of Christ in China (Shandong Province),平原省菏澤中華基督教改革組委辦公室,,píngyuán shěng hézézhōnghuá jīdūjiào gǎigé zǔwěibàn gōngshì,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_1388,,
平原省菏澤縣中華基督教會辦公室,TN_0371,Office of Heze Church of Christ in China (Pingyuan Province),平原省菏澤縣中華基督教會辦公室,,píngyuán shěng hézéxiàn zhōnghuá jīdūjiào huìbàn gōngshì,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_1388,,
平原省菏澤中華基督教辦公室,TN_0372,Office of Heze Church of Christ in China (Pingyuan Province),平原省菏澤中華基督教辦公室,,píngyuán shěng hézézhōnghuá jīdūjiào bàn gōngshì,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_1388,,
漢口神召會辦公室,TN_0373,Office of Hankou Assembly of God ,漢口神召會辦公室,,hànkǒu shénzhàohuì bàn gōngshì,C_000026,Assemblies of God Mission,,Ecclesial,,,,Protestant,Pentecostal,,Y_137,,
湖南長沙中華基督教自立福音會辦公室,TN_0374,Office of Changsha Chinese Christian Independent Evangelical Association Mission (Hunan),湖南長沙中華基督教自立福音會辦公室,,húnán cháng shāzhōnghuá jīdūjiào zìlì fúyīn huìbàn gōngshì,C_000103,Evangelical Association Mission,,Ecclesial,Church,,,Protestant,,,Y_629,,
湖南桃源保羅堂,TN_0375,Baoluo Church in Taoyuan County  (Hunan) ,湖南桃源保羅堂,,húnán táoyuán bǎoluótáng,,,Paul's Church in Taoyuan County (Hunan),Ecclesial,Church,,,Protestant,,,Y_552,,
常德漆家河桃北聯合堂,TN_0376,Northern Taoyuan County Union Church (Changde),常德漆家河桃北聯合堂,,chángdé qījiāhé táoběi liánhétáng,,,,Ecclesial,Church,,,Protestant,,,Y_552,,
湖南大會湘北區雲陸堂,TN_0377,Hunan Conference Yunlu Church (Xiangbei District),湖南大會湘北區雲陸堂,,húnán dàhuì xiāngběi qūyúnlùtáng,,,,Ecclesial,Church,,,Protestant,,,Y_1388,,
